reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
b2d9ac0c-bbef-40fc-a869-ecea854c2038,Iyan Faix Humaili,https://play-lh.googleusercontent.com/a/ACg8ocJNoV8c61iWfjc9h4hT0P9-eMRhYQPVpqYyZSaQzF_sGQbzPQ=mo,"Setiap order, belom selesai pesan sudah waktu anda habis.udah di cepetin ketik dan berkali-kali, udah lanjut, keterangan waktu anda habis coba beberapa saat lagi. Sering banget begitu. Lalu ngapain ada pesan online kalo dikit-dikit waktu habis dan ujungnya pesen ke stasiun langsung. 😅",1,170,6.5.4,2024-05-28 22:45:50,,,6.5.4
fa567a3e-13a7-4039-87a2-6b2453e7d611,tafran faisal,https://play-lh.googleusercontent.com/a-/ALV-UjUCh50-sLmDP__dEokPI3u6iwp5aZG58n6qlDpzg1sE-jOfeS6m2A,"baru di buka aplikasi'y malah muncul yang ber-tulisan ""MASIH RAGU BUAT"" TRAVELING jadi merasa ter-ganggu saat mau pesan ticket, dan per-cuma di klik juga di dalam'y cuma iklan. tapi maaf aq gak suka ada iklan jadi aq cukup aplikasi ini di kasih bintang 2",2,1,6.5.5,2024-06-14 13:37:56,,,6.5.5
9bd0b24d-b2eb-4364-9ff7-81854eaa78e9,Della Ari Fradina,https://play-lh.googleusercontent.com/a-/ALV-UjVAHXQUkJWp6LVo2iotU_kSTzrYKIOGSjlJ4spisE_SyGBA9854,"bener"" parah aplikasinya. masa pesen cuma dikasih waktu 30detik. ada fitur plih kursi,tapi gimana mau milih??? waktunya aja cuman 30detik. belum lagi lemot bgt aplikasinya. aplikasinya bener"" gak banget. pesen tiket aja sampe 1jam lebih grgr time out tolong dong KAI di perbaiki lgi aplikasi.",1,8,6.5.5,2024-06-13 15:31:42,,,6.5.5
40ed6c71-ca69-420b-9115-9e6ab66123cb,Claresta Kurniawan,https://play-lh.googleusercontent.com/a/ACg8ocIEpneiHnXE7c-2J49d8xYQhCqpV0Ur4_FoCDawDr90aP1J5g=mo,"Aplikasi makin banyak trouble, gak berminat untuk dibetulkan kah? Masak di awal halam tersisa 5 kursi begitu dibuka kursinya kosong semua. Pertama. Kedua setiap update jam 12 malam. Bukannya kereset malah udah ke isi semua jadi tiket yang habis gak bsa d klik. Tolong lah diperbaiki, sudah canggih tp banyak trouble mending gak usah d update.",2,24,6.5.4,2024-05-29 07:23:25,,,6.5.4
81baf1c8-9502-4760-b670-43f26c4f64f2,Arif Raydifrans,https://play-lh.googleusercontent.com/a-/ALV-UjUE643pFkV59YqEUuJlWVoWGBkp3ycfao240AgZvGhcOiZq2Eo,"Access by KAI tolong donk yang konsisten, tiket promo / go show konsisten di tampilkan pas 2 jam sebelum keberangkatan ( tiket langsung berubah ke harga promo ) ini sering kali berubah se enak nya sendiri, kadang 100 menit sebelum keberangkatan, 70 menit, 90 menit, dll Setelah di update aplikasinya kenapa kok ketika pembayaran sering error , coba lagi malah waktu pembayaran nya habis , mending aplikasi KAI Access yg dulu simpel dan cepat. Tolong di respon dan di perbaiki, terima kasih 🙏",1,107,6.5.5,2024-06-02 14:31:21,,,6.5.5
fd8f677a-6b67-4c8b-b848-c6ed51615f27,AL RFD,https://play-lh.googleusercontent.com/a-/ALV-UjXyUTU9IapS7V1zLfEpeHZdZnI4ckG5MG_MjdhMpvtUbqmxvy94,"Pantesan penilaian pada jelek, ternyata terbukti dengan saya sendiri, sudah BAYAR TIKET LUNAS via Qris BCA, tapi Tiket gk keluar, gabisa di print, Riwayat Transaksi di Aplikasi juga gk ada, dan akhirnya TERCANCEL tiketnya, nunggu 1 bulan baru di Refund UANG NYA, sampai saat ini blm ter Refund. Pantesan banyak berita berita gajelas , ternyata terbukti dari Aplikasi aja Begini.",1,10,6.5.5,2024-06-10 12:55:31,,,6.5.5
478a3bfc-d2b4-40d0-a3da-db6835db46df,Ayu Arinda Febrianti,https://play-lh.googleusercontent.com/a-/ALV-UjWOMyyGpj6OTMG7FMTBl8j4QMQXMBCTj8L--CbRyv7iJj09F639,"Evaluasi aplikasinya, semenjak di update access by kai, lebih sering error & loading nya lama bangett. Sering muncul kode error. Apalagi kalau waktu war muncul tidak bisa booking karna sudah lebih dari 15 kali, padahal user bolak balik booking ya karna di halaman tertentu aplikasi stuck, shg user terpaksa membatalkan, setelah itu akun kita tidak dpt dignkn beli tiket seharian, menyusahkan sekali, padahal sistem yg error. Lalu sering jg tiket sukses dibayar dan uang terdebit, tapi tiket tdk mncul",2,50,6.5.2,2024-05-17 01:01:44,"Hi kak, mohon maaf bisa diinfokan dengan jelas kendalanya seperti apa? Jika muncul notif seperti itu silakan lakukan clear chace & data terlebih dahulu dengan cara masuk ke pengaturan hp pilih manajemen aplikasi dan pilih Access by KAI. Jika memerlukan bantuan silahkan hubungi CC 121 atau Customer Service di Stasiun terdekat, terima kasih.",2024-05-17 04:07:08,6.5.2
fc7e23da-1cf2-49b2-b14a-5e09b0b6596f,Lenny Febryana,https://play-lh.googleusercontent.com/a-/ALV-UjWQJaC5fD7V2DyVI7GCdI4mMoRgNTxBvNFSBOc2yWYMnrKnAxlq,"Setiap war tiket tengah malam tinggal bayar aja lemot bgt aplikasinya. Sampe akhirnya selalu kehabisan tiket gara-gara tinggal masukin pw doang lemot kali. Udh ganti pake paket data ke wifi dan sebaliknya, sinyal juga bagus, masih tetep buffering. Sering juga error akhir-akhir ini.",1,246,6.5.2,2024-05-18 17:13:56,,,6.5.2
a105e9e0-a60b-4078-b9be-15bce3ea609a,MfieldMioMel M3,https://play-lh.googleusercontent.com/a-/ALV-UjWUe5HJVqjy_rAn3cIR4GTD0rMVz3efTt8KbI3VUOPsK-gAqjsj,"Aplikasi KAI Acces sebelumnya lebih simple dan jelas, digunakan langsung lancar sesuai yg dituju. Setelah diupgrade dg yang baru, hanya untuk mengecek posisi kereta saja tidak bisa tampil tidak bisa diklik???Lebih baik kembalikan seperti aplikasi KAI yg AWAL, lancar digunakan, tampilan juga jelas. Upgrade baru malah jika diklik posisi kereta yg ""seharusnya keluar menu tampilan jadwal posisi kereta"", mengapa ini malah hasilnya loncat ke ""pesan tiket CommuterLine""👎",1,1873,6.4.1,2024-04-24 23:29:53,,,6.4.1
ba14ecc4-c114-4346-a2a9-29a26ce3a648,Dzaky Darussiddik,https://play-lh.googleusercontent.com/a/ACg8ocL8ybAzm_JG5seumWoH0ox-zdvhd_qxnZDe6etsoTZy-sVJwg=mo,"Kenapa ya akhir2 ini sering error aplikasinya terutama ga bisa pesan tiket Commuter Line, ga bisa buka rute perjalanan KRL. Pusing dah! Nanti sya naikkan lagi Ratingnya klau udah bener pelayanannya.",2,9,6.5.5,2024-06-02 23:38:00,"halo kak, silahlan dicoba kembali ya kak 🙏🏼",2024-06-03 00:03:19,6.5.5
d1d67b25-2cc7-4b29-a945-70e9e8f4c1bd,Endriawan Ae,https://play-lh.googleusercontent.com/a/ACg8ocJ6yVzq83l7DzmzWRrgYynfCpaZwct2x9bEjD1CDIFX4zfA1Q=mo,"Uang top up raib gak masuk"". Dichek diriwayat gak ada. Tolong diperbaiki jangan asal buat aplikasi tapi di biarkan. Aplikasi berguna bagi traveler tapi kasian jika sering error. Malah bagus aplikasi lama. Di update bukanya tambah baik malah buruk banget.",1,5,6.5.5,2024-06-11 01:20:32,,,6.5.5
7a294c31-6b70-42ff-9ad0-d32ade65e325,Hanggayughma Ajaaa,https://play-lh.googleusercontent.com/a-/ALV-UjXvXXF4_00FztUqT4tiUJNtGKIKjIAJref46Ubq1kHGT7q8M1Ic,"Sebelum order minta pembaruan setelah diupdate malah nggak bisa bayar, ini kenapa sihh setiap dipake dibutuhkan cepat malah aplikasi nya error nggak bisa bayar, yang dulu nggak bisa bayar karena perbedaan waktu, bisa diakali dengan merubah waktu menjadi WIB sekarang malah nggak bisa bayar sama sekali, sumpah kecewa berat, interface aja yang bagus tapi fitur bayar malah error",1,591,6.4.1,2024-03-22 17:12:44,,,6.4.1
ce3ca770-8dbb-4a3b-90a4-f41dfa2c5ff9,Sidah Alifah,https://play-lh.googleusercontent.com/a/ACg8ocLsFQdbT8ydQ92F-S3saiV213qSzzI29w74_g2BZyKxzunX7g=mo,"aplikasi yg sekarang bener"" sampah dan tdk pernah menanggapi komplainan dr pengguna. masa tiap kali buka aplikasi selalu muncul tulisan ""periksa kembali koneksi anda"" pdhl koneksi saya sangat bagus krn pakai wifi dan baru bisa dibuka kalo hp saya sdh di restart ulang. tolong responnya dari pihak kai access untuk segera memperbaiki aplikasi ini seperti yg dulu. aplikasi tidak jelas!!!",1,498,6.4.1,2024-03-26 17:00:52,,,6.4.1
